Column1,Column2,Column3,Column4,Column5
267,286,18872,23122,0
182,197,12924,16101,0
160,173,11451,14384,0
166,170,11794,14423,0
163,169,11637,14085,0
162,169,11485,14389,0
238,245,17057,20208,0
160,163,11291,13593,0
178,192,12589,14955,0
207,234,14511,19322,0
181,198,13020,15735,0
160,167,11367,14049,0
258,271,18315,21892,0
177,192,12421,15683,0
184,202,13127,16127,0
192,211,13564,17249,0
158,165,11238,13448,0
275,295,19556,24161,0
158,170,11157,14178,0
169,178,12076,14271,0
180,192,12672,16019,0
168,178,11996,14359,0
164,177,11624,14797,0
252,264,17933,21822,0
163,172,11603,14195,0
168,176,11895,14622,0
173,184,12323,15163,0
155,163,11067,13433,0
159,166,11257,13583,0
255,270,18100,22282,0
170,183,12042,15113,0
159,169,11339,13797,0
171,181,12073,14936,0
159,169,11369,13685,0
250,267,17632,22500,0
162,168,11711,13267,0
142,147,9976,12393,0
173,184,12246,14843,0
151,164,10733,13179,0
169,182,11946,15218,0
219,230,15601,18519,0
161,173,11355,14456,0
147,155,10506,12505,0
143,153,10093,12629,0
168,180,11880,14827,0
136,142,9731,11271,0
-11268,-12094,-800214,-992639,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
0,1,0,85,0
0,1,0,85,0
0,1,0,85,0
0,2,0,170,0
88,124,5901,9619,0
212,296,14909,23382,0
215,273,15581,21173,0
172,185,12163,15285,0
259,274,18408,22346,0
172,183,12213,15337,0
249,259,17851,21356,0
161,170,11295,14223,0
192,204,13618,16571,0
165,180,11739,15051,0
230,292,15653,21014,0
320,415,21575,29785,0
223,291,15156,20580,0
208,272,14028,19363,0
245,311,16632,22625,0
310,398,21030,27978,0
197,213,13807,17149,0
185,204,13143,16475,0
182,197,12916,16413,0
249,262,17820,21338,0
175,185,12326,15821,0
167,175,11994,14156,0
202,243,13807,18417,0
218,275,14875,19465,0
345,444,23347,31638,0
245,316,16694,22747,0
220,286,14986,20391,0
329,421,22323,30304,0
228,292,15536,20763,0
195,225,13573,17285,0
170,187,12088,15060,0
255,270,18053,22191,0
184,203,13050,16732,0
158,165,11334,13477,0
157,164,11070,14091,0
251,263,17944,21356,0
162,170,11430,14535,0
163,171,11697,14113,0
163,167,11560,14153,0
163,170,11634,14098,0
231,239,16369,19969,0
170,183,12166,14844,0
165,176,11641,14715,0
158,163,11307,13169,0
251,268,17731,22126,0
163,175,11594,14457,0
162,169,11466,13861,0
167,178,11839,14287,0
